Destination,1990,1995,2000,2005,2010,2015,2020
United States of America,20141921,26604854,33172751,37005562,42074589,45774971,46598723
Germany,5926839,7412794,8931737,9216552,9697052,10105615,15608391
Saudi Arabia,4830679,4950773,5086745,6283624,8147064,10408329,13001347
Russian Federation,11517183,11921092,11892610,11663653,11194534,11643055,11636554
United Kingdom,3575525,4034204,4560937,5734529,6864266,8177323,9082536
France,5895386,6086052,6276716,6734252,7306098,7872952,8518941
United Arab Emirates,1287556,1781444,2378173,3183249,7094266,7752055,8451322
Canada,4319804,4847779,5491026,6056674,6735855,7405913,8024473
Australia,3946012,4130952,4333550,4800509,5769570,6591860,7532833
Spain,816864,1011626,1645940,4101348,6275801,5873416,6819451
Italy,1427857,1774215,2120571,3951503,5781507,5799648,6379694
Turkey,979633,1071375,1175461,1214989,1261121,4197009,5912738
India,7365037,6918237,6373046,5780415,5327507,4981127,4664165
Ukraine,6481438,5774245,5137559,4694360,4479641,4495836,4571036
Thailand,528671,809682,1257759,2195218,3233630,3469395,3631614
Kazakhstan,3192260,2936413,2680568,2885521,3090475,3287097,3459530
Jordan,1144310,1534834,1925359,2196432,2781508,3150117,3435756
Malaysia,609304,843822,1337233,1763735,2242623,3061157,3247513
Pakistan,6203799,3665602,4178579,3171399,3940511,3425927,3201265
Kuwait,1048104,893634,1086284,1267972,1768516,2751639,2985881
"China, Hong Kong SAR",2000265,2152873,2305464,2524034,2748711,2809169,2929168
Iran,4282607,2928766,2458733,2529688,2704744,2716186,2785736
Japan,1065385,1340239,1648768,1945860,2064499,2076531,2490217
Côte d'Ivoire,1794958,2038795,2103321,2201917,2300514,2401128,2490044
Switzerland,1197055,1307968,1462792,1690569,1932845,2172891,2387258
Oman,299352,521084,596366,638222,783100,1780894,2276522
Singapore,445694,793855,1218865,1526620,1919435,2201935,2237618
Argentina,1565150,1512303,1459485,1614750,1767580,2042036,2237042
Qatar,305265,353830,349667,624746,1406620,1654997,2192930
Netherlands,1118486,1270730,1466752,1631884,1722200,1796332,2136727
Sweden,719491,853829,915113,1033028,1246140,1517711,1915164
Colombia,93339,96910,100468,98561,120955,148532,1893004
Belgium,1251696,1232867,1173171,1191833,1414183,1672385,1888034
Bangladesh,741548,800479,859424,892782,1100737,1138134,1790721
Austria,791774,893239,994703,1125111,1272619,1480923,1735447
Uganda,524217,588222,581763,590870,490451,848659,1717975
Lebanon,520116,604819,689524,739656,791350,1914698,1711373
Republic of Korea,41151,118117,232929,463215,876550,1351254,1667497
Chile,89313,122144,154883,239371,323764,561576,1602394
New Zealand,590487,640651,732305,891247,1001965,1096685,1422904
Israel,1481131,1544827,1522017,1428322,1351951,1394306,1353916
Sudan,1369612,1019543,770450,509151,590487,598718,1348983
Greece,617164,854735,1106363,1184904,1314609,1236752,1334135
Venezuela (Bolivarian Republic of),1024656,1018605,1013447,1076250,1347101,1404185,1323848
Peru,55705,55789,65246,76670,103333,152662,1219806
Nigeria,299556,361537,437977,870507,889165,1076442,1177115
Mexico,693667,456565,536002,710402,966922,992415,1174191
Uzbekistan,1577433,1433906,1325101,1247571,1140101,1094008,1085715
Belarus,1248782,1186020,1123275,1106673,1090088,1082594,1066786
